Source.colony,Expt.colony,Indv.ID,Weeks.since,Trt,Obs,Pre.Mass,Mass.change,Percent.mass.change,Pre.boldness,Post.boldness,Post.within.var
KAL-B3,KAL-B3_1,M_1_11,1,Mixed,2,0.0638,-0.006,-0.094043887,59.72,128.84,0
KAL-B3,KAL-B3_1,M_1_11,1,Mixed,3,0.0638,-0.006,-0.094043887,20.94,600,0
KAL-B3,KAL-B3_1,M_1_11,1,Mixed,4,0.0638,-0.006,-0.094043887,600,600,0
KAL-B3,KAL-B3_1,M_1_11,1,Mixed,5,0.0638,-0.006,-0.094043887,46.27,600,0
KAL-B3,KAL-B3_2,M_2_10,2,Mixed,1,0.0959,-0.009,-0.093847758,595.97,129.36,57219.92028
KAL-B3,KAL-B3_2,M_2_10,2,Mixed,2,0.0959,-0.009,-0.093847758,600,100.62,57219.92028
KAL-B3,KAL-B3_2,M_2_10,2,Mixed,3,0.0959,-0.009,-0.093847758,328.88,23,57219.92028
KAL-B3,KAL-B3_2,M_2_10,2,Mixed,4,0.0959,-0.009,-0.093847758,358.88,100.62,57219.92028
KAL-B3,KAL-B3_2,M_2_10,2,Mixed,5,0.0959,-0.009,-0.093847758,212.04,305.85,57219.92028
UPP-A7,UPP-A7_3,M_3_33,3,Mixed,1,0.0641,-0.006,-0.093603744,488.35,600,0
UPP-A7,UPP-A7_3,M_3_33,3,Mixed,2,0.0641,-0.006,-0.093603744,600,600,0
UPP-A7,UPP-A7_3,M_3_33,3,Mixed,3,0.0641,-0.006,-0.093603744,600,600,0
UPP-A7,UPP-A7_3,M_3_33,3,Mixed,4,0.0641,-0.006,-0.093603744,170.6,600,0
UPP-A7,UPP-A7_3,M_3_33,3,Mixed,5,0.0641,-0.006,-0.093603744,600,600,0
KAL-B3,KAL-B3_3_control,C_104,3,Control,1,0.0644,-0.006,-0.093167702,600,600,19141.62852
KAL-B3,KAL-B3_3_control,C_104,3,Control,2,0.0644,-0.006,-0.093167702,600,600,19141.62852
KAL-B3,KAL-B3_3_control,C_104,3,Control,3,0.0644,-0.006,-0.093167702,600,600,19141.62852
KAL-B3,KAL-B3_3_control,C_104,3,Control,4,0.0644,-0.006,-0.093167702,600,530.35,19141.62852
KAL-B3,KAL-B3_3_control,C_104,3,Control,5,0.0644,-0.006,-0.093167702,600,280.66,19141.62852
KAL-B3,KAL-B3_1_control,C_15,1,Control,1,0.0755,-0.007,-0.092715232,600,35.59,50516.29732
KAL-B3,KAL-B3_1_control,C_15,1,Control,2,0.0755,-0.007,-0.092715232,600,432.93,50516.29732
KAL-B3,KAL-B3_1_control,C_15,1,Control,3,0.0755,-0.007,-0.092715232,84.53,143.37,50516.29732
KAL-B3,KAL-B3_1_control,C_15,1,Control,4,0.0755,-0.007,-0.092715232,600,597.56,50516.29732
KAL-B3,KAL-B3_1_control,C_15,1,Control,5,0.0755,-0.007,-0.092715232,88.91,260.09,50516.29732
KAL-1,KAL-1_1_control,C_1,1,Control,1,0.0649,-0.006,-0.092449923,121.75,151.28,17492.41785
KAL-1,KAL-1_1_control,C_1,1,Control,2,0.0649,-0.006,-0.092449923,116.06,0.23,17492.41785
KAL-1,KAL-1_1_control,C_1,1,Control,3,0.0649,-0.006,-0.092449923,201.88,334,17492.41785
KAL-1,KAL-1_1_control,C_1,1,Control,4,0.0649,-0.006,-0.092449923,135.38,88.45,17492.41785
KAL-1,KAL-1_1_control,C_1,1,Control,5,0.0649,-0.006,-0.092449923,140.91,255.64,17492.41785
KAL-B3,KAL-B3_4_control,C_146,4,Control,1,0.0651,-0.006,-0.092165899,49.38,48,4507.90883
KAL-B3,KAL-B3_4_control,C_146,4,Control,2,0.0651,-0.006,-0.092165899,26.73,59.84,4507.90883
KAL-B3,KAL-B3_4_control,C_146,4,Control,3,0.0651,-0.006,-0.092165899,175.53,14.79,4507.90883
KAL-B3,KAL-B3_4_control,C_146,4,Control,4,0.0651,-0.006,-0.092165899,86.69,183.75,4507.90883
KAL-B3,KAL-B3_4_control,C_146,4,Control,5,0.0651,-0.006,-0.092165899,600,31.44,4507.90883
UPP-A10,UPP-A10_1_control,C_30,1,Control,1,0.0652,-0.006,-0.09202454,600,600,11960.02163
UPP-A10,UPP-A10_1_control,C_30,1,Control,2,0.0652,-0.006,-0.09202454,600,600,11960.02163
UPP-A10,UPP-A10_1_control,C_30,1,Control,3,0.0652,-0.006,-0.09202454,600,461.97,11960.02163
UPP-A10,UPP-A10_1_control,C_30,1,Control,4,0.0652,-0.006,-0.09202454,600,593.57,11960.02163
UPP-A10,UPP-A10_1_control,C_30,1,Control,5,0.0652,-0.006,-0.09202454,600,357.84,11960.02163
KAL-1,KAL-1_1_control,C_5,1,Control,1,0.1089,-0.01,-0.091827365,423.17,257.56,37369.94537
KAL-1,KAL-1_1_control,C_5,1,Control,2,0.1089,-0.01,-0.091827365,600,600,37369.94537
KAL-1,KAL-1_1_control,C_5,1,Control,3,0.1089,-0.01,-0.091827365,600,106.59,37369.94537
KAL-1,KAL-1_1_control,C_5,1,Control,4,0.1089,-0.01,-0.091827365,600,152.64,37369.94537
KAL-1,KAL-1_1_control,C_5,1,Control,5,0.1089,-0.01,-0.091827365,462.87,260.25,37369.94537
N10-C3,N10-C3_3,M_3_19,3,Mixed,1,0.0436,-0.004,-0.091743119,87.81,104.5,6158.79228
N10-C3,N10-C3_3,M_3_19,3,Mixed,2,0.0436,-0.004,-0.091743119,119.83,166.54,6158.79228
N10-C3,N10-C3_3,M_3_19,3,Mixed,3,0.0436,-0.004,-0.091743119,153.53,299.23,6158.79228
N10-C3,N10-C3_3,M_3_19,3,Mixed,4,0.0436,-0.004,-0.091743119,358.66,115.22,6158.79228
N10-C3,N10-C3_3,M_3_19,3,Mixed,5,0.0436,-0.004,-0.091743119,502.37,199.64,6158.79228
UPP-A7,UPP-A7_3_control,C_117,3,Control,1,0.0873,-0.008,-0.09163803,225.97,182.32,5485.94693
UPP-A7,UPP-A7_3_control,C_117,3,Control,2,0.0873,-0.008,-0.09163803,125.78,13.26,5485.94693
UPP-A7,UPP-A7_3_control,C_117,3,Control,3,0.0873,-0.008,-0.09163803,69.47,60.29,5485.94693
UPP-A7,UPP-A7_3_control,C_117,3,Control,4,0.0873,-0.008,-0.09163803,69.47,174.06,5485.94693
UPP-A7,UPP-A7_3_control,C_117,3,Control,5,0.0873,-0.008,-0.09163803,600,75.75,5485.94693
UPP-A8,UPP-A8_2,M_2_32,2,Mixed,1,0.0766,-0.007,-0.091383812,81.57,231.35,40996.81267
UPP-A8,UPP-A8_2,M_2_32,2,Mixed,2,0.0766,-0.007,-0.091383812,138.62,109.93,40996.81267
UPP-A8,UPP-A8_2,M_2_32,2,Mixed,3,0.0766,-0.007,-0.091383812,116.78,600,40996.81267
UPP-A8,UPP-A8_2,M_2_32,2,Mixed,4,0.0766,-0.007,-0.091383812,266.34,109.93,40996.81267
UPP-A8,UPP-A8_2,M_2_32,2,Mixed,5,0.0766,-0.007,-0.091383812,67.63,206.28,40996.81267
UPP-B77,UPP-B77_2_control,C_86,2,Control,1,0.0985,-0.009,-0.091370558,230.56,205.42,44596.69528
UPP-B77,UPP-B77_2_control,C_86,2,Control,2,0.0985,-0.009,-0.091370558,211.66,83.26,44596.69528
UPP-B77,UPP-B77_2_control,C_86,2,Control,3,0.0985,-0.009,-0.091370558,297.34,600,44596.69528
UPP-B77,UPP-B77_2_control,C_86,2,Control,4,0.0985,-0.009,-0.091370558,146.53,115.22,44596.69528
UPP-B77,UPP-B77_2_control,C_86,2,Control,5,0.0985,-0.009,-0.091370558,106.81,151.38,44596.69528
KAL-B3,KAL-B3_2_control,C_62,2,Control,1,0.0986,-0.009,-0.09127789,600,64.9,57783.39347
KAL-B3,KAL-B3_2_control,C_62,2,Control,2,0.0986,-0.009,-0.09127789,600,222.03,57783.39347
KAL-B3,KAL-B3_2_control,C_62,2,Control,3,0.0986,-0.009,-0.09127789,600,600,57783.39347
KAL-B3,KAL-B3_2_control,C_62,2,Control,4,0.0986,-0.009,-0.09127789,600,257.91,57783.39347
KAL-B3,KAL-B3_2_control,C_62,2,Control,5,0.0986,-0.009,-0.09127789,600,600,57783.39347
UPP-A8,UPP-A8_3_control,C_126,3,Control,1,0.066,-0.006,-0.090909091,600,500,1230.1584
UPP-A8,UPP-A8_3_control,C_126,3,Control,2,0.066,-0.006,-0.090909091,600,541.57,1230.1584
UPP-A8,UPP-A8_3_control,C_126,3,Control,3,0.066,-0.006,-0.090909091,600,461.5,1230.1584
UPP-A8,UPP-A8_3_control,C_126,3,Control,4,0.066,-0.006,-0.090909091,471.44,512.24,1230.1584
UPP-A8,UPP-A8_3_control,C_126,3,Control,5,0.066,-0.006,-0.090909091,600,458.84,1230.1584
KAL-AA1,KAL-AA1_1_control,C_11,1,Control,1,0.0993,-0.009,-0.090634441,600,600,6019.32517
KAL-AA1,KAL-AA1_1_control,C_11,1,Control,2,0.0993,-0.009,-0.090634441,600,579.21,6019.32517
KAL-AA1,KAL-AA1_1_control,C_11,1,Control,3,0.0993,-0.009,-0.090634441,600,483.55,6019.32517
KAL-AA1,KAL-AA1_1_control,C_11,1,Control,4,0.0993,-0.009,-0.090634441,600,533.78,6019.32517
KAL-AA1,KAL-AA1_1_control,C_11,1,Control,5,0.0993,-0.009,-0.090634441,143.37,407.5,6019.32517
UPP-B77,UPP-B77_3_control,C_134,3,Control,1,0.0775,-0.007,-0.090322581,600,425.78,16659.89762
UPP-B77,UPP-B77_3_control,C_134,3,Control,2,0.0775,-0.007,-0.090322581,531.81,569.47,16659.89762
UPP-B77,UPP-B77_3_control,C_134,3,Control,3,0.0775,-0.007,-0.090322581,600,569.47,16659.89762
UPP-B77,UPP-B77_3_control,C_134,3,Control,4,0.0775,-0.007,-0.090322581,600,261.15,16659.89762
UPP-B77,UPP-B77_3_control,C_134,3,Control,5,0.0775,-0.007,-0.090322581,206.28,506.59,16659.89762
KAL-AA1,KAL-AA1_2_control,C_57,2,Control,1,0.0781,-0.007,-0.089628681,600,600,14941.87598
KAL-AA1,KAL-AA1_2_control,C_57,2,Control,2,0.0781,-0.007,-0.089628681,600,600,14941.87598
KAL-AA1,KAL-AA1_2_control,C_57,2,Control,3,0.0781,-0.007,-0.089628681,600,600,14941.87598
KAL-AA1,KAL-AA1_2_control,C_57,2,Control,4,0.0781,-0.007,-0.089628681,600,583.85,14941.87598
KAL-AA1,KAL-AA1_2_control,C_57,2,Control,5,0.0781,-0.007,-0.089628681,600,323.08,14941.87598
N10-C3,N10-C3_2_control,C_63,2,Control,1,0.0784,-0.007,-0.089285714,156.01,77.8,2238.97475
N10-C3,N10-C3_2_control,C_63,2,Control,2,0.0784,-0.007,-0.089285714,50.04,63.77,2238.97475
N10-C3,N10-C3_2_control,C_63,2,Control,3,0.0784,-0.007,-0.089285714,31.72,27.53,2238.97475
N10-C3,N10-C3_2_control,C_63,2,Control,4,0.0784,-0.007,-0.089285714,76.66,136.44,2238.97475
N10-C3,N10-C3_2_control,C_63,2,Control,5,0.0784,-0.007,-0.089285714,292.72,17.21,2238.97475
UPP-A8,UPP-A8_2_control,C_80,2,Control,1,0.0561,-0.005,-0.08912656,118.48,600,64183.36273
UPP-A8,UPP-A8_2_control,C_80,2,Control,2,0.0561,-0.005,-0.08912656,228.5,12.55,64183.36273
UPP-A8,UPP-A8_2_control,C_80,2,Control,3,0.0561,-0.005,-0.08912656,106.59,88.54,64183.36273
UPP-A8,UPP-A8_2_control,C_80,2,Control,4,0.0561,-0.005,-0.08912656,152.64,172.37,64183.36273
UPP-A8,UPP-A8_2_control,C_80,2,Control,5,0.0561,-0.005,-0.08912656,91.66,467.76,64183.36273
UPP-A8,UPP-A8_3_control,C_128,3,Control,1,0.0694,-0.006,-0.086455331,600,600,0
UPP-A8,UPP-A8_3_control,C_128,3,Control,2,0.0694,-0.006,-0.086455331,600,600,0
UPP-A8,UPP-A8_3_control,C_128,3,Control,3,0.0694,-0.006,-0.086455331,600,600,0
UPP-A8,UPP-A8_3_control,C_128,3,Control,4,0.0694,-0.006,-0.086455331,600,600,0
UPP-A8,UPP-A8_3_control,C_128,3,Control,5,0.0694,-0.006,-0.086455331,600,600,0
UPP-B77,UPP-B77_2,M_2_40,2,Mixed,1,0.0698,-0.006,-0.085959885,309.35,600,0
UPP-B77,UPP-B77_2,M_2_40,2,Mixed,2,0.0698,-0.006,-0.085959885,285.19,600,0
UPP-B77,UPP-B77_2,M_2_40,2,Mixed,3,0.0698,-0.006,-0.085959885,231.35,600,0
UPP-B77,UPP-B77_2,M_2_40,2,Mixed,4,0.0698,-0.006,-0.085959885,109.93,0,0
UPP-B77,UPP-B77_2,M_2_40,2,Mixed,5,0.0698,-0.006,-0.085959885,600,600,0
KAL-B3,KAL-B3_2,M_2_11,2,Mixed,1,0.1166,-0.01,-0.085763293,481.78,600,0
KAL-B3,KAL-B3_2,M_2_11,2,Mixed,2,0.1166,-0.01,-0.085763293,600,600,0
KAL-B3,KAL-B3_2,M_2_11,2,Mixed,3,0.1166,-0.01,-0.085763293,600,600,0
KAL-B3,KAL-B3_2,M_2_11,2,Mixed,4,0.1166,-0.01,-0.085763293,600,600,0
KAL-B3,KAL-B3_2,M_2_11,2,Mixed,5,0.1166,-0.01,-0.085763293,127.25,600,0
KAL-B3,KAL-B3_2,M_2_12,2,Mixed,1,0.1407,-0.012,-0.085287846,600,385.84,67740.65088
KAL-B3,KAL-B3_2,M_2_12,2,Mixed,2,0.1407,-0.012,-0.085287846,600,81.04,67740.65088
KAL-B3,KAL-B3_2,M_2_12,2,Mixed,3,0.1407,-0.012,-0.085287846,600,48.21,67740.65088
KAL-B3,KAL-B3_2,M_2_12,2,Mixed,4,0.1407,-0.012,-0.085287846,600,81.04,67740.65088
KAL-B3,KAL-B3_2,M_2_12,2,Mixed,5,0.1407,-0.012,-0.085287846,600,404.35,67740.65088
KAL-B3,KAL-B3_2,M_2_14,2,Mixed,1,0.0662,-0.005,-0.075528701,600,600,0
KAL-B3,KAL-B3_2,M_2_14,2,Mixed,2,0.0662,-0.005,-0.075528701,600,600,0
KAL-B3,KAL-B3_2,M_2_14,2,Mixed,3,0.0662,-0.005,-0.075528701,600,191.54,0
KAL-B3,KAL-B3_2,M_2_14,2,Mixed,4,0.0662,-0.005,-0.075528701,600,600,0
KAL-B3,KAL-B3_2,M_2_14,2,Mixed,5,0.0662,-0.005,-0.075528701,600,143.37,0
UPP-A10,UPP-A10_1,M_1_26,1,Mixed,1,0.0798,-0.006,-0.07518797,600,119.25,58623.94092
UPP-A10,UPP-A10_1,M_1_26,1,Mixed,2,0.0798,-0.006,-0.07518797,600,383.22,58623.94092
UPP-A10,UPP-A10_1,M_1_26,1,Mixed,3,0.0798,-0.006,-0.07518797,600,174.06,58623.94092
UPP-A10,UPP-A10_1,M_1_26,1,Mixed,4,0.0798,-0.006,-0.07518797,383.75,119.62,58623.94092
UPP-A10,UPP-A10_1,M_1_26,1,Mixed,5,0.0798,-0.006,-0.07518797,600,475.82,58623.94092
KAL-1,KAL-1_2,M_2_3,2,Mixed,1,0.1359,-0.01,-0.073583517,482.41,600,1575.66752
KAL-1,KAL-1_2,M_2_3,2,Mixed,2,0.1359,-0.01,-0.073583517,348.44,327.22,1575.66752
KAL-1,KAL-1_2,M_2_3,2,Mixed,3,0.1359,-0.01,-0.073583517,516.31,600,1575.66752
KAL-1,KAL-1_2,M_2_3,2,Mixed,4,0.1359,-0.01,-0.073583517,600,600,1575.66752
KAL-1,KAL-1_2,M_2_3,2,Mixed,5,0.1359,-0.01,-0.073583517,600,63.77,1575.66752
UPP-A10,UPP-A10_2,M_2_25,2,Mixed,1,0.0557,-0.004,-0.071813285,404.35,600,0
UPP-A10,UPP-A10_2,M_2_25,2,Mixed,2,0.0557,-0.004,-0.071813285,600,600,0
UPP-A10,UPP-A10_2,M_2_25,2,Mixed,3,0.0557,-0.004,-0.071813285,600,600,0
UPP-A10,UPP-A10_2,M_2_25,2,Mixed,4,0.0557,-0.004,-0.071813285,143.37,600,0
UPP-A10,UPP-A10_2,M_2_25,2,Mixed,5,0.0557,-0.004,-0.071813285,597.56,600,0
N10-C3,N10-C3_1,M_1_19,1,Mixed,1,0.1455,-0.01,-0.068728522,83,593.57,14701.21088
N10-C3,N10-C3_1,M_1_19,1,Mixed,2,0.1455,-0.01,-0.068728522,170.56,600,14701.21088
N10-C3,N10-C3_1,M_1_19,1,Mixed,3,0.1455,-0.01,-0.068728522,600,106.59,14701.21088
N10-C3,N10-C3_1,M_1_19,1,Mixed,4,0.1455,-0.01,-0.068728522,600,600,14701.21088
N10-C3,N10-C3_1,M_1_19,1,Mixed,5,0.1455,-0.01,-0.068728522,516.74,600,14701.21088
KAL-B3,KAL-B3_1,M_1_12,1,Mixed,1,0.0747,-0.005,-0.066934404,600,361.2,26353.4102
KAL-B3,KAL-B3_1,M_1_12,1,Mixed,2,0.0747,-0.005,-0.066934404,94.49,115.22,26353.4102
KAL-B3,KAL-B3_1,M_1_12,1,Mixed,3,0.0747,-0.005,-0.066934404,55.28,60.29,26353.4102
KAL-B3,KAL-B3_1,M_1_12,1,Mixed,4,0.0747,-0.005,-0.066934404,600,339.5,26353.4102
KAL-B3,KAL-B3_1,M_1_12,1,Mixed,5,0.0747,-0.005,-0.066934404,600,409.12,26353.4102
UPP-A7,UPP-A7_4_control,C_40,1,Control,1,0.0773,-0.005,-0.064683053,146.44,600,72913.85382
UPP-A7,UPP-A7_4_control,C_40,1,Control,2,0.0773,-0.005,-0.064683053,600,600,72913.85382
UPP-A7,UPP-A7_4_control,C_40,1,Control,3,0.0773,-0.005,-0.064683053,600,105.88,72913.85382
UPP-A7,UPP-A7_4_control,C_40,1,Control,4,0.0773,-0.005,-0.064683053,600,108.13,72913.85382
UPP-A7,UPP-A7_4_control,C_40,1,Control,5,0.0773,-0.005,-0.064683053,600,600,72913.85382
KAL-1,KAL-1_2,M_2_1,2,Mixed,1,0.0988,-0.005,-0.050607287,86.96,233,34863.03872
KAL-1,KAL-1_2,M_2_1,2,Mixed,2,0.0988,-0.005,-0.050607287,18.03,276.63,34863.03872
KAL-1,KAL-1_2,M_2_1,2,Mixed,3,0.0988,-0.005,-0.050607287,46.29,24.97,34863.03872
KAL-1,KAL-1_2,M_2_1,2,Mixed,4,0.0988,-0.005,-0.050607287,136.78,600,34863.03872
KAL-1,KAL-1_2,M_2_1,2,Mixed,5,0.0988,-0.005,-0.050607287,261.15,58.75,34863.03872
UPP-B77,UPP-B77_2_control,C_91,2,Control,1,0.1039,-0.005,-0.048123195,600,234.66,55149.7182
UPP-B77,UPP-B77_2_control,C_91,2,Control,2,0.1039,-0.005,-0.048123195,66.13,554.88,55149.7182
UPP-B77,UPP-B77_2_control,C_91,2,Control,3,0.1039,-0.005,-0.048123195,119.62,43.48,55149.7182
UPP-B77,UPP-B77_2_control,C_91,2,Control,4,0.1039,-0.005,-0.048123195,600,600,55149.7182
UPP-B77,UPP-B77_2_control,C_91,2,Control,5,0.1039,-0.005,-0.048123195,600,251.38,55149.7182
N10-C3,N10-C3_2,M_2_19,2,Mixed,1,0.0662,-0.003,-0.045317221,121.25,154.78,72707.35518
N10-C3,N10-C3_2,M_2_19,2,Mixed,2,0.0662,-0.003,-0.045317221,257.56,3.91,72707.35518
N10-C3,N10-C3_2,M_2_19,2,Mixed,3,0.0662,-0.003,-0.045317221,600,235.54,72707.35518
N10-C3,N10-C3_2,M_2_19,2,Mixed,4,0.0662,-0.003,-0.045317221,574.19,441.94,72707.35518
N10-C3,N10-C3_2,M_2_19,2,Mixed,5,0.0662,-0.003,-0.045317221,600,598.62,72707.35518
KAL-B3,KAL-B3_1,M_1_15,1,Mixed,1,0.0735,-0.003,-0.040816327,600,61.66,27605.34203
KAL-B3,KAL-B3_1,M_1_15,1,Mixed,2,0.0735,-0.003,-0.040816327,600,0,27605.34203
KAL-B3,KAL-B3_1,M_1_15,1,Mixed,3,0.0735,-0.003,-0.040816327,509.69,198.45,27605.34203
KAL-B3,KAL-B3_1,M_1_15,1,Mixed,4,0.0735,-0.003,-0.040816327,514.5,320.56,27605.34203
KAL-B3,KAL-B3_1,M_1_15,1,Mixed,5,0.0735,-0.003,-0.040816327,421.13,124.78,27605.34203
KAL-AA1,KAL-AA1_2,M_2_9,2,Mixed,1,0.0532,-0.002,-0.037593985,600,231.44,44374.10498
KAL-AA1,KAL-AA1_2,M_2_9,2,Mixed,2,0.0532,-0.002,-0.037593985,410.53,358.66,44374.10498
KAL-AA1,KAL-AA1_2,M_2_9,2,Mixed,3,0.0532,-0.002,-0.037593985,600,600,44374.10498
KAL-AA1,KAL-AA1_2,M_2_9,2,Mixed,4,0.0532,-0.002,-0.037593985,491.97,115.38,44374.10498
KAL-AA1,KAL-AA1_2,M_2_9,2,Mixed,5,0.0532,-0.002,-0.037593985,600,600,44374.10498
UPP-B77,UPP-B77_1,M_1_44,1,Mixed,1,0.0565,-0.002,-0.03539823,600,600,1738.19033
UPP-B77,UPP-B77_1,M_1_44,1,Mixed,2,0.0565,-0.002,-0.03539823,600,28.22,1738.19033
UPP-B77,UPP-B77_1,M_1_44,1,Mixed,3,0.0565,-0.002,-0.03539823,600,286.78,1738.19033
UPP-B77,UPP-B77_1,M_1_44,1,Mixed,4,0.0565,-0.002,-0.03539823,297.34,106.81,1738.19033
UPP-B77,UPP-B77_1,M_1_44,1,Mixed,5,0.0565,-0.002,-0.03539823,429.13,259.94,1738.19033
KAL-AA1,KAL-AA1_3_control,C_100,3,Control,1,0.063,-0.002,-0.031746032,600,42.13,93802.17167
KAL-AA1,KAL-AA1_3_control,C_100,3,Control,2,0.063,-0.002,-0.031746032,471.44,39.53,93802.17167
KAL-AA1,KAL-AA1_3_control,C_100,3,Control,3,0.063,-0.002,-0.031746032,72.19,600,93802.17167
KAL-AA1,KAL-AA1_3_control,C_100,3,Control,4,0.063,-0.002,-0.031746032,334,600,93802.17167
KAL-AA1,KAL-AA1_3_control,C_100,3,Control,5,0.063,-0.002,-0.031746032,600,600,93802.17167
UPP-A8,UPP-A8_4_control,C_170,4,Control,1,0.0651,-0.002,-0.030721966,600,191.54,53022.2416
UPP-A8,UPP-A8_4_control,C_170,4,Control,2,0.0651,-0.002,-0.030721966,600,600,53022.2416
UPP-A8,UPP-A8_4_control,C_170,4,Control,3,0.0651,-0.002,-0.030721966,600,348.88,53022.2416
UPP-A8,UPP-A8_4_control,C_170,4,Control,4,0.0651,-0.002,-0.030721966,283.38,600,53022.2416
UPP-A8,UPP-A8_4_control,C_170,4,Control,5,0.0651,-0.002,-0.030721966,533.78,97.93,53022.2416
UPP-A8,UPP-A8_4,M_4_34,4,Mixed,1,0.066,-0.002,-0.03030303,23.06,552.25,29913.73263
UPP-A8,UPP-A8_4,M_4_34,4,Mixed,2,0.066,-0.002,-0.03030303,600,181.06,29913.73263
UPP-A8,UPP-A8_4,M_4_34,4,Mixed,3,0.066,-0.002,-0.03030303,183.28,114.04,29913.73263
UPP-A8,UPP-A8_4,M_4_34,4,Mixed,4,0.066,-0.002,-0.03030303,552.25,188.09,29913.73263
UPP-A8,UPP-A8_4,M_4_34,4,Mixed,5,0.066,-0.002,-0.03030303,181.06,214.94,29913.73263
N10-C3,N10-C3_4,M_4_22,4,Mixed,1,0.1009,-0.003,-0.029732408,264.59,482.35,5709.99997
N10-C3,N10-C3_4,M_4_22,4,Mixed,2,0.1009,-0.003,-0.029732408,600,409.16,5709.99997
N10-C3,N10-C3_4,M_4_22,4,Mixed,3,0.1009,-0.003,-0.029732408,583.78,484.53,5709.99997
N10-C3,N10-C3_4,M_4_22,4,Mixed,4,0.1009,-0.003,-0.029732408,600,495.62,5709.99997
N10-C3,N10-C3_4,M_4_22,4,Mixed,5,0.1009,-0.003,-0.029732408,209.16,317.35,5709.99997
UPP-A7,UPP-A7_2_control,C_79,2,Control,1,0.081,-0.002,-0.024691358,600,154.78,37168.02788
UPP-A7,UPP-A7_2_control,C_79,2,Control,2,0.081,-0.002,-0.024691358,600,600,37168.02788
UPP-A7,UPP-A7_2_control,C_79,2,Control,3,0.081,-0.002,-0.024691358,600,600,37168.02788
UPP-A7,UPP-A7_2_control,C_79,2,Control,4,0.081,-0.002,-0.024691358,348.88,600,37168.02788
UPP-A7,UPP-A7_2_control,C_79,2,Control,5,0.081,-0.002,-0.024691358,600,491.54,37168.02788
UPP-B77,UPP-B77_1,M_1_42,1,Mixed,1,0.0897,-0.002,-0.022296544,600,394.23,63895.17872
UPP-B77,UPP-B77_1,M_1_42,1,Mixed,2,0.0897,-0.002,-0.022296544,418.19,183.25,63895.17872
UPP-B77,UPP-B77_1,M_1_42,1,Mixed,3,0.0897,-0.002,-0.022296544,261.5,99.45,63895.17872
UPP-B77,UPP-B77_1,M_1_42,1,Mixed,4,0.0897,-0.002,-0.022296544,43.48,600,63895.17872
UPP-B77,UPP-B77_1,M_1_42,1,Mixed,5,0.0897,-0.002,-0.022296544,600,600,63895.17872
UPP-A8,UPP-A8_3_control,C_125,3,Control,1,0.1357,-0.003,-0.02210759,600,568.36,29514.78128
UPP-A8,UPP-A8_3_control,C_125,3,Control,2,0.1357,-0.003,-0.02210759,481.25,600,29514.78128
UPP-A8,UPP-A8_3_control,C_125,3,Control,3,0.1357,-0.003,-0.02210759,332.81,209.16,29514.78128
UPP-A8,UPP-A8_3_control,C_125,3,Control,4,0.1357,-0.003,-0.02210759,600,600,29514.78128
UPP-A8,UPP-A8_3_control,C_125,3,Control,5,0.1357,-0.003,-0.02210759,420.37,600,29514.78128
UPP-B77,UPP-B77_4_control,C_175,4,Control,1,0.0908,-0.002,-0.022026432,571.47,471,4615.58985
UPP-B77,UPP-B77_4_control,C_175,4,Control,2,0.0908,-0.002,-0.022026432,482.81,411.19,4615.58985
UPP-B77,UPP-B77_4_control,C_175,4,Control,3,0.0908,-0.002,-0.022026432,600,483.19,4615.58985
UPP-B77,UPP-B77_4_control,C_175,4,Control,4,0.0908,-0.002,-0.022026432,600,480.06,4615.58985
UPP-B77,UPP-B77_4_control,C_175,4,Control,5,0.0908,-0.002,-0.022026432,600,324.31,4615.58985
KAL-1,KAL-1_4,M_4_1,4,Mixed,1,0.1039,-0.002,-0.019249278,600,60.02,134.8544
KAL-1,KAL-1_4,M_4_1,4,Mixed,2,0.1039,-0.002,-0.019249278,77,45.62,134.8544
KAL-1,KAL-1_4,M_4_1,4,Mixed,3,0.1039,-0.002,-0.019249278,182.09,54.26,134.8544
KAL-1,KAL-1_4,M_4_1,4,Mixed,4,0.1039,-0.002,-0.019249278,260.09,61.66,134.8544
KAL-1,KAL-1_4,M_4_1,4,Mixed,5,0.1039,-0.002,-0.019249278,114.28,33.54,134.8544
UPP-A10,UPP-A10_4,M_4_24,4,Mixed,1,0.1101,-0.002,-0.018165304,35.72,13.54,581.35323
UPP-A10,UPP-A10_4,M_4_24,4,Mixed,2,0.1101,-0.002,-0.018165304,137.59,19.5,581.35323
UPP-A10,UPP-A10_4,M_4_24,4,Mixed,3,0.1101,-0.002,-0.018165304,100.26,53.97,581.35323
UPP-A10,UPP-A10_4,M_4_24,4,Mixed,4,0.1101,-0.002,-0.018165304,113.47,66.21,581.35323
UPP-A10,UPP-A10_4,M_4_24,4,Mixed,5,0.1101,-0.002,-0.018165304,312.17,58.75,581.35323
UPP-A7,UPP-A7_2,M_2_28,2,Mixed,1,0.1134,-0.002,-0.017636684,600,600,88731.73448
UPP-A7,UPP-A7_2,M_2_28,2,Mixed,2,0.1134,-0.002,-0.017636684,149.22,475.82,88731.73448
UPP-A7,UPP-A7_2,M_2_28,2,Mixed,3,0.1134,-0.002,-0.017636684,129.36,0,88731.73448
UPP-A7,UPP-A7_2,M_2_28,2,Mixed,4,0.1134,-0.002,-0.017636684,100.62,0,88731.73448
